STATE_NAME_2011,SSC_NAME_2011,POA_CODE_2011,"POA_NAME_2011 (contains notes, see bottom)"
New South Wales,Lithgow,2790,2790
New South Wales,Bowenfels,2790,2790
New South Wales,Hassans Walls,2790,2790
New South Wales,Oaky Park,2790,2790
New South Wales,Morts Estate,2790,2790
New South Wales,Hermitage Flat,2790,2790
New South Wales,McKellars Park,2790,2790
New South Wales,South Littleton,2790,2790
New South Wales,Littleton,2790,2790
New South Wales,Vale Of Clwydd,2790,2790
New South Wales,Portland (NSW),2847,2847
New South Wales,Lidsdale,2790,2790
New South Wales,Wallerawang,2845,2845
New South Wales,Little Hartley,2790,2790
New South Wales,Clarence,2790,2790
New South Wales,Hartley (NSW),2790,2790
New South Wales,Glen Davis,2849,2849
New South Wales,Meadow Flat,2795,2795
New South Wales,Ganbenang,2790,2790
New South Wales,Cullen Bullen,2790,2790
New South Wales,Rydal,2790,2790
New South Wales,Dargan,2786,2786
New South Wales,Kanimbla (NSW),2790,2790
New South Wales,Capertee,2846,2846
New South Wales,Mudgee,2850,2850
New South Wales,Putta Bucca,2850,2850
New South Wales,Burrundulla,2850,2850
New South Wales,Bombira,2850,2850
New South Wales,Kandos,2848,2848
New South Wales,Rylstone,2849,2849
New South Wales,Ilford,2850,2850
New South Wales,Clandulla,2848,2848
New South Wales,Charbon,2848,2848
New South Wales,Coxs Creek,2849,2849
New South Wales,Breakfast Creek,2849,2849
New South Wales,Gulgong,2852,2852
New South Wales,Dunedoo,2844,2844
New South Wales,Leadville,2844,2844
New South Wales,Tallawang,2852,2852
New South Wales,Stubbo,2852,2852
New South Wales,Yarrawonga (NSW),2850,2850
New South Wales,Wollar,2850,2850
New South Wales,Piambong,2852,2852
New South Wales,Cooks Gap,2850,2850
New South Wales,Cooyal,2850,2850
New South Wales,St Fillans,2850,2850
New South Wales,Budgee Budgee (NSW),2850,2850
New South Wales,Kains Flat,2850,2850
New South Wales,Spring Flat,2850,2850
New South Wales,Menah,2850,2850
New South Wales,Grattai,2850,2850
New South Wales,Hargraves,2850,2850
New South Wales,Lue,2850,2850
New South Wales,Windeyer (NSW),2850,2850
New South Wales,Lidsdale,2849,2849
New South Wales,Blayney,2799,2799
New South Wales,Millthorpe,2798,2798
New South Wales,Carcoar,2791,2791
New South Wales,Lyndhurst (Blayney - NSW),2797,2797
New South Wales,Forest Reefs,2798,2798
New South Wales,Mandurama,2792,2792
New South Wales,Neville,2799,2799
New South Wales,Barry (Blayney - NSW),2799,2799
New South Wales,Newbridge (NSW),2795,2795
New South Wales,Orange,2800,2800
New South Wales,Clifton Grove,2800,2800
New South Wales,Cumnock,2867,2867
New South Wales,Cudal,2864,2864
New South Wales,Molong,2866,2866
New South Wales,Manildra,2865,2865
New South Wales,Cargo,2800,2800
New South Wales,Garra,2866,2866
New South Wales,Spring Terrace,2798,2798
New South Wales,Shadforth (NSW),2798,2798
New South Wales,Lewis Ponds,2800,2800
New South Wales,Lucknow (NSW),2800,2800
New South Wales,Huntley (Orange - NSW),2800,2800
New South Wales,Springside (NSW),2800,2800
New South Wales,Spring Hill (Cabonne - NSW),2798,2798
New South Wales,Canobolas,2800,2800
New South Wales,Ophir,2800,2800
New South Wales,Summer Hill Creek,2800,2800
New South Wales,Mullion Creek,2800,2800
New South Wales,Nashdale,2800,2800
New South Wales,Bowan Park,2864,2864
New South Wales,Borenore,2800,2800
New South Wales,Belgravia,2800,2800
New South Wales,Larras Lee,2866,2866
New South Wales,Grafton,2460,2460
New South Wales,Southampton (NSW),2460,2460
New South Wales,South Grafton,2460,2460
New South Wales,Junction Hill,2460,2460
New South Wales,Carrs Creek,2460,2460
New South Wales,Alumy Creek,2460,2460
New South Wales,Tucabia,2462,2462
New South Wales,Ulmarra,2462,2462
New South Wales,Ewingar,2469,2469
New South Wales,Cangai,2460,2460
New South Wales,Ramornie,2460,2460
New South Wales,Nymboida,2460,2460
New South Wales,Kangaroo Creek,2460,2460
New South Wales,Glenreagh,2450,2450
New South Wales,Wells Crossing,2460,2460
New South Wales,Halfway Creek,2460,2460
New South Wales,Unclassified (NSW),2460,2460
New South Wales,Copmanhurst,2460,2460
New South Wales,The Whiteman,2460,2460
New South Wales,Waterview Heights,2460,2460
New South Wales,Lawrence (NSW),2460,2460
New South Wales,Gurranang,2460,2460
New South Wales,The Pinnacles,2460,2460
New South Wales,Eatonsville,2460,2460
New South Wales,Seelands,2460,2460
New South Wales,Mountain View (NSW),2460,2460
New South Wales,Southgate,2460,2460
New South Wales,Ashby Heights,2463,2463
New South Wales,Ashby (NSW),2463,2463
New South Wales,Woodford Island,2463,2463
New South Wales,Brushgrove,2460,2460
New South Wales,Elland,2460,2460
New South Wales,Coutts Crossing,2460,2460
New South Wales,Lanitza,2460,2460
New South Wales,Braunstone,2460,2460
New South Wales,Glenugie,2460,2460
New South Wales,Clarenza,2460,2460
New South Wales,Pillar Valley,2462,2462
New South Wales,Tyndale,2460,2460
New South Wales,Calliope (NSW),2462,2462
New South Wales,Wooli,2462,2462
New South Wales,Minnie Water,2462,2462
New South Wales,Ilarwill,2463,2463
New South Wales,Yamba (NSW),2464,2464
New South Wales,Gulmarrad,2463,2463
New South Wales,Angourie,2464,2464
New South Wales,Brooms Head,2463,2463
New South Wales,Yuraygir,2464,2464
New South Wales,Woombah,2469,2469
New South Wales,Maclean,2463,2463
New South Wales,Iluka (NSW),2466,2466
New South Wales,Warregah Island,2469,2469
New South Wales,Harwood,2465,2465
New South Wales,Chatsworth (NSW),2469,2469
New South Wales,Townsend,2463,2463
New South Wales,Freeburn Island,2464,2464
New South Wales,James Creek,2463,2463
New South Wales,Palmers Island,2463,2463
New South Wales,Wooloweyah,2464,2464
New South Wales,Bellingen,2454,2454
New South Wales,Brierfield,2454,2454
New South Wales,Fernmount,2454,2454
New South Wales,Darkwood,2454,2454
New South Wales,Thora,2454,2454
New South Wales,Gleniffer,2454,2454
New South Wales,Kalang,2454,2454
New South Wales,Coffs Harbour,2450,2450
New South Wales,North Boambee Valley,2450,2450
New South Wales,Coramba,2450,2450
New South Wales,Nana Glen,2450,2450
New South Wales,Upper Orara,2450,2450
New South Wales,Bucca (NSW),2450,2450
New South Wales,Karangi,2450,2450
New South Wales,Megan,2453,2453
New South Wales,Ulong,2450,2450
New South Wales,Lowanna,2450,2450
New South Wales,Dorrigo,2453,2453
New South Wales,Deer Vale,2453,2453
New South Wales,Hernani,2453,2453
New South Wales,Dundurrabin,2453,2453
New South Wales,North Dorrigo,2453,2453
New South Wales,Unclassified (NSW),2450,2450
New South Wales,Sapphire Beach,2450,2450
New South Wales,Korora,2450,2450
New South Wales,Emerald Beach,2456,2456
New South Wales,Moonee Beach,2450,2450
New South Wales,Boambee East,2452,2452
New South Wales,Toormina,2452,2452
New South Wales,Boambee,2450,2450
New South Wales,Sawtell,2452,2452
New South Wales,Bonville,2441,2441
New South Wales,Bundagen,2454,2454
New South Wales,Mylestom,2454,2454
New South Wales,Repton,2454,2454
New South Wales,Urunga,2455,2455
New South Wales,Raleigh,2454,2454
New South Wales,Woolgoolga,2456,2456
New South Wales,Safety Beach (NSW),2456,2456
New South Wales,Sandy Beach,2456,2456
New South Wales,Upper Corindi,2456,2456
New South Wales,Corindi Beach,2456,2456
New South Wales,Barcoongere,2460,2460
New South Wales,Red Rock,2456,2456
New South Wales,Arrawarra,2456,2456
New South Wales,Arrawarra Headland,2456,2456
New South Wales,Mullaway,2456,2456
New South Wales,Bourke,2840,2840
New South Wales,Wanaaring,2840,2840
New South Wales,Enngonia,2840,2840
New South Wales,Brewarrina,2839,2839
New South Wales,Weilmoringle,2839,2839
New South Wales,Murrin Bridge,2672,2672
New South Wales,Cobar,2835,2835
New South Wales,Euabalong,2877,2877
New South Wales,Kerrigundi,2835,2835
New South Wales,Coonamble,2829,2829
New South Wales,Gulargambone,2828,2828
New South Wales,Gilgooma,2829,2829
New South Wales,Quambone,2831,2831
New South Wales,Marthaguy,2824,2824
New South Wales,Nyngan,2825,2825
New South Wales,Nevertire,2831,2831
New South Wales,Warren,2824,2824
New South Wales,Girilambone,2831,2831
New South Wales,Hermidale,2825,2825
New South Wales,Ravenswood (NSW),2824,2824
New South Wales,Cumborah,2832,2832
New South Wales,Collarenebri,2833,2833
New South Wales,Goodooga,2831,2831
New South Wales,Carinda,2831,2831
New South Wales,Come By Chance,2832,2832
New South Wales,Walgett,2832,2832
New South Wales,Burren Junction,2386,2386
New South Wales,Lightning Ridge,2834,2834
New South Wales,Broken Hill,2880,2880
New South Wales,White Cliffs,2836,2836
New South Wales,Menindee,2879,2879
New South Wales,Wilcannia,2836,2836
New South Wales,Tibooburra,2880,2880
New South Wales,Mutawintji,2880,2880
New South Wales,Sunset Strip (NSW),2879,2879
New South Wales,Ivanhoe (NSW),2878,2878
New South Wales,Baradine,2396,2396
New South Wales,Coonabarabran,2357,2357
New South Wales,Binnaway,2395,2395
New South Wales,Mendooran,2842,2842
New South Wales,Coolah,2843,2843
New South Wales,Bugaldie,2396,2396
New South Wales,Tannabar,2357,2357
New South Wales,Dandry,2357,2357
New South Wales,Goolhi,2357,2357
New South Wales,Ulamambri,2357,2357
New South Wales,Bomera,2357,2357
New South Wales,Merrygoen,2831,2831
New South Wales,Kenebri,2396,2396
New South Wales,Dubbo,2830,2830
New South Wales,Mugga Downs,2830,2830
New South Wales,Eulomogo,2830,2830
New South Wales,Bunglegumbie,2830,2830
New South Wales,Beni,2830,2830
New South Wales,Brocklehurst,2830,2830
New South Wales,Obley,2830,2830
New South Wales,Eschol,2830,2830
New South Wales,Cumboogle,2830,2830
New South Wales,Yarrabar,2830,2830
New South Wales,Burrabadine,2830,2830
New South Wales,Minore Falls,2830,2830
New South Wales,Terramungamine,2830,2830
New South Wales,Wongarbon,2831,2831
New South Wales,Gollan,2820,2820
New South Wales,Bruah,2830,2830
New South Wales,Eumungerie,2831,2831
New South Wales,Delroy Heights,2830,2830
New South Wales,Ballimore,2830,2830
New South Wales,Gilgandra,2827,2827
New South Wales,Balladoran,2831,2831
New South Wales,Collie (NSW),2827,2827
New South Wales,Armatree,2831,2831
New South Wales,Tooraweenah,2831,2831
New South Wales,Biddon,2827,2827
New South Wales,Narromine,2821,2821
New South Wales,Burroway,2821,2821
New South Wales,Trangie,2823,2823
New South Wales,Tomingley,2869,2869
New South Wales,Gin Gin (NSW),2823,2823
New South Wales,Apsley (NSW),2820,2820
New South Wales,North Yeoval,2868,2868
New South Wales,Comobella,2820,2820
New South Wales,Mumbil,2820,2820
New South Wales,Wellington (NSW),2820,2820
New South Wales,Stuart Town,2820,2820
New South Wales,Neurea,2820,2820
New South Wales,Yeoval,2868,2868
New South Wales,Mount Arthur,2820,2820
New South Wales,Geurie,2820,2820
New South Wales,Spicers Creek,2820,2820
New South Wales,Geurie,2831,2831
New South Wales,Montefiores,2820,2820
New South Wales,Greta (NSW),2334,2334
New South Wales,Lower Belford,2335,2335
New South Wales,Pokolbin,2320,2320
New South Wales,Allandale (NSW),2321,2321
New South Wales,Lovedale,2325,2325
New South Wales,Branxton,2335,2335
New South Wales,North Rothbury,2335,2335
New South Wales,East Branxton,2335,2335
New South Wales,Rothbury,2320,2320
New South Wales,Leconfield,2335,2335
New South Wales,Cessnock,2325,2325
New South Wales,Nulkaba,2325,2325
New South Wales,Aberdare,2325,2325
New South Wales,Kearsley,2325,2325
New South Wales,Bellbird,2325,2325
New South Wales,Bellbird Heights,2325,2325
New South Wales,Ellalong,2325,2325
New South Wales,Kitchener,2325,2325
New South Wales,Abernethy,2325,2325
New South Wales,Mulbring,2323,2323
New South Wales,Millfield,2325,2325
